sourceName,boardToken,company,companyDomain,status,totalPersistedJobs
smartrecruiters,360ITProfessionals1,360 IT Professionals,,working,122
smartrecruiters,AACSBInternational1,AACSB International,,working,0
smartrecruiters,AbacusTechnologyCorporation,Abacus Technology Corporation,,working,5
smartrecruiters,AbbVie,AbbVie,,working,10
smartrecruiters,ABOUTYOUGmbH,ABOUT YOU SE & Co. KG,,working,41
smartrecruiters,AccentureFederalServices,Accenture Federal Services,,working,11
smartrecruiters,AccorCorpo,AccorCorpo,,working,2
smartrecruiters,Achieve1,Achieve,,working,3
smartrecruiters,ActiveTheory,Active Theory,,working,0
smartrecruiters,Acumatica,Acumatica,,working,8
smartrecruiters,AcumenSolutions,Acumen Solutions,,working,15
smartrecruiters,AditiConsulting1,Aditi Consulting,,working,2
smartrecruiters,AditiStaffing1,AditiStaffing,,working,34
smartrecruiters,AdobeAssociatesInc,Adobe Associates Inc,,working,2
smartrecruiters,AdvanceTradingInc,"Advance Trading, Inc",,working,1
smartrecruiters,AECOM2,AECOM,,working,27
smartrecruiters,AeroVect,AeroVect,,working,2
smartrecruiters,AgileEnterpriseSolutions,Agile Enterprise Solutions,,working,27
smartrecruiters,AGTechnologies1,AG Technologies,,working,55
smartrecruiters,AHRCNYC1,AHRC NYC,,working,0
smartrecruiters,AIRCommunities,AIR Communities,,working,0
smartrecruiters,AjnaInfotech,Ajna Infotech,,working,1
smartrecruiters,Akuo,Akuo,,working,1
smartrecruiters,AllegisGlobalSolutions,Allegis Global Solutions,,working,4
smartrecruiters,AllStaff1,AllStaff,,working,1
smartrecruiters,Ally1,Ally,,working,5
smartrecruiters,AlphalogicInc,"Alphalogic, Inc.",,working,6
smartrecruiters,AlphaTechnologiesIncUSA1,Alpha Technologies Inc USA,,working,15
smartrecruiters,Alten2,Alten,,working,2
smartrecruiters,AmericanTechnologyConsulting-ATC,American Technology Consulting - ATC,,working,0
smartrecruiters,AMGTECHNOLOGY,AMG TECHNOLOGY,,working,3
smartrecruiters,AmNetServicesInc,"AmNet Services, Inc.",,working,104
smartrecruiters,AmplyPowerInc,"Amply Power, Inc",,working,1
smartrecruiters,AnchorPointTechnologyResources1,Anchor Point Technology Resources,,working,13
smartrecruiters,Anexinet1,Anexinet,,working,3
smartrecruiters,AngloAmericanDeBeersGroup,Anglo American / De Beers Group,,working,1
smartrecruiters,Apexon1,Apexon,,working,2
smartrecruiters,ApplusIDIADA1,Applus IDIADA,,working,1
smartrecruiters,AptonInc,Apton inc,,working,4
smartrecruiters,AristaNetworks,Arista Networks,,working,88
smartrecruiters,ArkaInfotechInc,Arka Infotech Inc,,working,37
smartrecruiters,ArtechInformationSystemLLC,Artech Information System LLC,,working,200
smartrecruiters,AskITConsulting,Ask IT consulting,,working,132
smartrecruiters,ASKStaffing1,ASK Staffing,,working,13
smartrecruiters,ASML1,ASML,,working,2
smartrecruiters,Assent,Assent,,working,12
smartrecruiters,ASSYSTEM,ASSYSTEM,,working,24
smartrecruiters,Astucemedia,Astucemedia,,working,1
